Time,src_ip,dst_ip,protocol,packet_length,info
2026-02-03 12:19:02.471340,13.107.213.42,192.168.1.4,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:02.496450,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:19:02.521566,13.107.213.42,192.168.1.4,TCP,56,"Packet (Length: 56)"
2026-02-03 12:19:02.598651,95.100.86.213,192.168.1.4,QUIC,70,"Packet (Length: 70)"
2026-02-03 12:19:02.769214,13.107.213.42,192.168.1.4,TLS,93,"Packet (Length: 93)"
2026-02-03 12:19:02.769214,13.107.213.42,192.168.1.4,TLS,78,"Packet (Length: 78)"
2026-02-03 12:19:02.769319,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:02.769896,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:02.771434,13.107.213.42,192.168.1.4,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:02.771537,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:02.823519,13.107.213.42,192.168.1.4,TCP,60,"Packet (Length: 60)"
2026-02-03 12:19:02.955215,192.168.1.4,216.58.215.164,DATA,71,"Packet (Length: 71)"
2026-02-03 12:19:03.139638,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:03.156474,192.168.1.4,216.58.215.164,DATA,71,"Packet (Length: 71)"
2026-02-03 12:19:03.529068,192.168.1.4,216.58.215.164,DATA,71,"Packet (Length: 71)"
2026-02-03 12:19:03.581607,13.107.213.42,192.168.1.4,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:03.581607,216.58.215.164,192.168.1.4,DATA,69,"Packet (Length: 69)"
2026-02-03 12:19:03.581607,216.58.215.164,192.168.1.4,DATA,71,"Packet (Length: 71)"
2026-02-03 12:19:03.895032,N/A,N/A,ARP,42,"Packet (Length: 42)"
2026-02-03 12:19:04.063571,192.168.1.4,13.107.213.42,TLS,55,"Packet (Length: 55)"
2026-02-03 12:19:04.122044,13.107.213.42,192.168.1.4,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:06.767135,150.171.29.11,192.168.1.4,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:06.770861,150.171.30.11,192.168.1.4,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:07.582186,N/A,N/A,ICMPV6,86,"Packet (Length: 86)"
2026-02-03 12:19:07.614883,192.168.1.4,142.251.209.106,TLS,55,"Packet (Length: 55)"
2026-02-03 12:19:07.701446,N/A,N/A,ARP,42,"Packet (Length: 42)"
2026-02-03 12:19:07.703454,142.251.209.106,192.168.1.4,TCP,70,"Packet (Length: 70)"
2026-02-03 12:19:07.704739,N/A,N/A,ARP,46,"Packet (Length: 46)"
2026-02-03 12:19:07.904589,192.168.1.4,216.58.215.150,TLS,55,"Packet (Length: 55)"
2026-02-03 12:19:07.964639,216.58.215.150,192.168.1.4,TCP,66,"Packet (Length: 66)"
2026-02-03 12:19:08.476653,192.168.1.4,216.58.215.150,TLS,55,"Packet (Length: 55)"
2026-02-03 12:19:08.534650,216.58.215.150,192.168.1.4,TCP,66,"Packet (Length: 66)"
2026-02-03 12:19:08.689774,192.168.1.4,142.250.200.142,TLS,55,"Packet (Length: 55)"
2026-02-03 12:19:08.744464,142.250.200.142,192.168.1.4,TCP,66,"Packet (Length: 66)"
2026-02-03 12:19:09.002827,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:19:09.118144,95.100.86.213,192.168.1.4,QUIC,70,"Packet (Length: 70)"
2026-02-03 12:19:09.685834,192.168.1.4,142.251.168.84,TLS,55,"Packet (Length: 55)"
2026-02-03 12:19:09.764868,142.251.168.84,192.168.1.4,TCP,70,"Packet (Length: 70)"
2026-02-03 12:19:13.520748,N/A,N/A,ARP,42,"Packet (Length: 42)"
2026-02-03 12:19:13.726255,95.100.86.213,192.168.1.4,QUIC,77,"Packet (Length: 77)"
2026-02-03 12:19:13.760544,192.168.1.4,95.100.86.213,QUIC,74,"Packet (Length: 74)"
2026-02-03 12:19:13.932885,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:19:13.936608,20.190.177.82,192.168.1.4,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:14.036127,95.100.86.213,192.168.1.4,QUIC,70,"Packet (Length: 70)"
2026-02-03 12:19:14.244096,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:19:14.442999,95.100.86.213,192.168.1.4,QUIC,70,"Packet (Length: 70)"
2026-02-03 12:19:14.445840,104.18.39.21,192.168.1.4,TLS,78,"Packet (Length: 78)"
2026-02-03 12:19:14.446440,192.168.1.4,104.18.39.21,TLS,82,"Packet (Length: 82)"
2026-02-03 12:19:14.453065,95.100.86.213,192.168.1.4,QUIC,70,"Packet (Length: 70)"
2026-02-03 12:19:14.490631,192.168.1.4,95.100.86.213,QUIC,74,"Packet (Length: 74)"
2026-02-03 12:19:14.527022,104.18.39.21,192.168.1.4,TCP,56,"Packet (Length: 56)"
2026-02-03 12:19:14.543874,N/A,N/A,ARP,42,"Packet (Length: 42)"
2026-02-03 12:19:14.651138,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:19:14.898794,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:19:14.901615,95.100.86.213,192.168.1.4,QUIC,70,"Packet (Length: 70)"
2026-02-03 12:19:14.977398,95.100.86.213,192.168.1.4,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:19:15.189819,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:19:15.269477,95.100.86.213,192.168.1.4,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:19:15.477105,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:19:15.556096,95.100.86.213,192.168.1.4,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:19:15.758571,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:19:15.846652,95.100.86.213,192.168.1.4,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:19:16.052856,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:19:16.156466,95.100.86.213,192.168.1.4,QUIC,72,"Packet (Length: 72)"
2026-02-03 12:19:16.372534,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:19:16.488809,192.168.1.4,142.250.200.130,TCP,55,"Packet (Length: 55)"
2026-02-03 12:19:16.490770,95.100.86.213,192.168.1.4,QUIC,72,"Packet (Length: 72)"
2026-02-03 12:19:16.582765,142.250.200.130,192.168.1.4,TCP,66,"Packet (Length: 66)"
